0,uk_real_5yr,uk_real_10yr,uk_real_30yr
2023-03-03,0.20720686724384757,0.38052029542556903,0.8881122975269524
2023-03-06,0.18920527517300692,0.35083997444703563,0.8437313827977125
2023-03-07,0.33451043420327536,0.4252155887731634,0.8118358580517354
2023-03-08,0.32643083629265923,0.3667602194022327,0.7348507719681556
2023-03-09,0.3083848050509212,0.3611350635247035,0.7690265746494523
2023-03-10,0.1630110459678377,0.21780313668504614,0.662389874163061
2023-03-13,-0.02341595050226422,0.00701277806153644,0.5480954162071939
2023-03-14,0.14353028016329347,0.12775723062188177,0.6296645574116869
2023-03-15,0.12176946139789786,0.06421530048047232,0.5365454552201965
2023-03-16,0.1607647642724356,0.0888153114188046,0.5809089016367407
2023-03-17,0.12334925449383749,0.03296236523444766,0.5084496801343462
2023-03-20,0.20828336908842243,0.12379526086439874,0.6079780064258516
2023-03-21,0.212967459447791,0.1304550165010679,0.6211329770978185
2023-03-22,0.10509181863292041,0.11140319851438288,0.6556180413057793
2023-03-23,-0.01761929124816623,0.03272614687047756,0.5900629892055955
2023-03-24,-0.04487492585151083,-0.003926606226484185,0.5116919735599832
2023-03-27,-0.029815208129963015,0.022268555196103035,0.5163335646191866
2023-03-28,-0.041927886696855945,0.02392926000400225,0.5271793730719766
2023-03-29,-0.11806825198266331,-0.07297032324770916,0.44192814797418456
2023-03-30,-0.10894787498407972,-0.08439140844679262,0.41800941733072267
2023-03-31,-0.057649435649137826,-0.03747289818187868,0.45765032885249585
2023-04-03,-0.2220297086761529,-0.1620978539678046,0.35969421835586174
2023-04-04,-0.216183177034691,-0.13543463007090045,0.379964125532706
2023-04-05,-0.10212900316498055,-0.07425002026629303,0.4322137277585153
2023-04-06,-0.003482375866339718,-0.014844194586990411,0.4822701196597724
2023-04-11,0.13775819882139112,0.11748009928849334,0.5338055812129296
2023-04-12,0.19905109034856305,0.16408925917436007,0.5477213001546012
2023-04-13,0.16031723549504592,0.1508175451129094,0.5996876146995483
2023-04-14,0.20633333838280174,0.19106857830801,0.6555155171201748
2023-04-17,0.22687897874418622,0.22159350945789874,0.6937922567766704
2023-04-18,0.3255870168753022,0.31328340463142956,0.7869612395942756
2023-04-19,0.22749315537906964,0.30722357595320515,0.799321544528133
2023-04-20,0.14819933798823465,0.22914356434728952,0.7347119104126475
2023-04-21,0.14066314354323176,0.20751916208257598,0.7189092489206117
2023-04-24,0.13772871531116707,0.2000940564182922,0.6914397348616338
2023-04-25,0.13548743816486722,0.19415324346802293,0.7002554314120802
2023-04-26,0.25935635704686427,0.28798541917981374,0.7412616900754274
2023-04-27,0.31371101218104946,0.34723826094587823,0.7889610288488567
2023-04-28,0.3841061668983059,0.35479507323050113,0.719064085644218
2023-05-02,0.39472952276460355,0.3571466913884138,0.7230964696037251
2023-05-03,0.48486445853122284,0.41456247845771355,0.7749032980975077
2023-05-04,0.46273609888928996,0.4181346958940749,0.793287862232033
2023-05-05,0.5067910254213682,0.4665935877937365,0.8724207402401702
2023-05-09,0.5778214325515154,0.5224423396549726,0.8896195533592846
2023-05-10,0.5066228083896285,0.4503050906494133,0.828588768895051
2023-05-11,0.44613982815029773,0.38528358914594313,0.7951914276896234
2023-05-12,0.507353334174517,0.4559678791796271,0.8762269102502924
2023-05-15,0.5651327061542851,0.5166853854558141,0.9377005787859151
2023-05-16,0.639745490559301,0.570353494368488,0.9860617038570294
2023-05-17,0.623431988883257,0.5461325468123908,0.9900374255527518
2023-05-18,0.72913254810843,0.6548855822760514,1.0904473673268036
2023-05-19,0.8209334946353828,0.733693831982472,1.1371324849658775
2023-05-22,0.8778616820720938,0.7707759198668376,1.1581448757536017
2023-05-23,0.9675230294942996,0.8698785397309816,1.2309833242549943
2023-05-24,0.6482029553628478,0.6839080867143903,1.139233905376315
2023-05-25,0.8216047788948002,0.8502630785846513,1.2368400362996168
2023-05-26,0.850514384217993,0.8606331295582305,1.2605832357582802
2023-05-30,0.7677040681600595,0.7680199769308788,1.1993925402091574
2023-05-31,0.7094081126604979,0.7010893697440043,1.1419085861347056
2023-06-01,0.7092948643501348,0.6820772225527277,1.1377470496162911
2023-06-02,0.7646009272892466,0.698322114405025,1.1289499925788582
2023-06-05,0.7608917237225723,0.6884788856229189,1.1095760612894947
2023-06-06,0.7565088196367149,0.656567108031823,1.023411519580789
2023-06-07,0.7518862289410944,0.6528422392342644,1.0021593945410205
2023-06-08,0.7508842139096851,0.6702512932217892,1.0580985879913098
2023-06-09,0.8166440274875676,0.6943134282956871,1.0537526400849928
2023-06-12,0.9424794011366492,0.7984056749440754,1.1228719047753908
2023-06-13,1.0494771774262555,0.858204875899867,1.1325590147305569
2023-06-14,1.0064116663090141,0.8217937918332066,1.0715144637226295
2023-06-15,1.0099190707368477,0.8076018003282938,1.0390655088302811
2023-06-16,1.0807731530986764,0.833704459770682,1.0314234443452202
2023-06-19,1.2187340479312592,0.9332672566101671,1.0742477045151697
2023-06-20,1.0500206989730079,0.7885480295009772,1.0178396380863624
2023-06-21,0.8303454247379637,0.6892838105811276,1.0330609284454666
2023-06-22,0.9093481552059766,0.7260640327903284,1.019258530322517
2023-06-23,0.9888975205812944,0.7320216232555533,0.9913966917017425
2023-06-26,0.9720874608070111,0.7069070569598452,0.9259336917308272
2023-06-27,1.1177329215641474,0.8116494360473883,0.9607876793075132
2023-06-28,1.036806286575051,0.7420974234049826,0.9573473162397724
2023-06-29,1.0130690610020625,0.7384061571450238,1.004828629606436
2023-06-30,1.0618960757426579,0.7546708527231368,0.980557074748896
2023-07-03,1.1518837178060797,0.8309178690297573,1.030429379213937
2023-07-04,1.194533325375872,0.8476944500307695,1.0213047385402048
2023-07-05,1.267771073482249,0.8946242985851411,1.0503396171273145
2023-07-06,1.4187556709847322,1.0577383112499585,1.1905838599704957
2023-07-07,1.3675849572895875,1.0489121812526139,1.2212852457338965
2023-07-10,1.3246619661805759,1.0246496270969527,1.2299281749066273
2023-07-11,1.3612953015546414,1.0531755714561664,1.246981748039344
2023-07-12,1.2482912597947133,0.966989709810308,1.2042357926009244
2023-07-13,1.1739733341206495,0.9197787007471137,1.1971308511443195
2023-07-14,1.2581930213975006,0.9720252099262348,1.1832586004209085
2023-07-17,1.2663933594853165,0.9782426912113336,1.204857391187283
2023-07-18,1.19113620850851,0.8891408600874703,1.1282714453210114
2023-07-19,0.8365213861970314,0.6507999236306359,0.9725464664655589
2023-07-20,0.895421044252277,0.7013172127133693,1.01830149211703
2023-07-21,0.8618502050575652,0.6795555414552178,1.0129202428967186
2023-07-24,0.8536126872895118,0.6659244184545899,1.0105336255389317
2023-07-25,0.8549325971154358,0.6820091004526841,1.0398381704575337
2023-07-26,0.895637610136973,0.6797490325752391,1.014409981486144
2023-07-27,0.9300183543523172,0.7185555004946802,1.0553762434909666
2023-07-28,0.9548518237917177,0.7362217950775669,1.0854653309375777
2023-07-31,0.9338792035473169,0.7191562973063312,1.081277327905693
2023-08-01,1.0056535416706618,0.7831526037489523,1.0980515140326148
2023-08-02,1.009360618385996,0.7947580561303249,1.1175971351746024
2023-08-03,1.050563056205698,0.8697311791706005,1.2143644279977914
2023-08-04,1.0014199239773032,0.80707817557905,1.1511561295770782
2023-08-07,1.0441917613610152,0.8493575545110591,1.2005973277555648
2023-08-08,1.0092167288688738,0.8003400888435573,1.16175447163587
2023-08-09,0.9969877316031402,0.8132531934535434,1.1795732621563313
2023-08-10,1.0101821482014661,0.825046684883544,1.197510967995982
2023-08-11,1.16023415208018,0.9626977872154443,1.3049932205925663
2023-08-14,1.2201384499985901,1.0121696760859211,1.3156574861530885
2023-08-15,1.2723791069016603,1.068453443482961,1.3772634451505397
2023-08-16,1.0745973764560441,0.9863284453110269,1.3772673976218464
2023-08-17,1.1512264413550148,1.0624259347419547,1.4459479622142066
2023-08-18,1.1514276940507626,1.0463582775180633,1.420149714313857
2023-08-21,1.1887874424032558,1.0863444611786188,1.454897525988744
2023-08-22,1.149524793782795,1.0533561064010715,1.4349306888968527
2023-08-23,0.9864764755249776,0.8955072368233206,1.312764752990067
2023-08-24,0.9916144472894327,0.8590520956365472,1.2498093194658788
2023-08-25,1.026286655029695,0.8729605805055056,1.221864968306246
2023-08-29,1.011122937708949,0.8720639133310408,1.2298977737288455
2023-08-30,0.9787577447678439,0.8480038322178851,1.2376888421122823
2023-08-31,0.8840563646821915,0.7659467532340313,1.1914014516182525
2023-09-01,0.8826950996078095,0.7925858038189186,1.2352419204075873
2023-09-04,0.9216336958793372,0.850984070385041,1.321313413521973
2023-09-05,0.949484333581007,0.8786731201102477,1.361691622966803
2023-09-06,0.9890520169605083,0.9096431028422785,1.3777400643178683
2023-09-07,0.9207078880021516,0.8441904735192649,1.3201251653881647
2023-09-08,0.8350342024291099,0.7950998749004532,1.30290487000581
2023-09-11,0.8833773814115078,0.852510597027659,1.3790304557604922
2023-09-12,0.8233247194362863,0.8098652025715056,1.3512564195176033
2023-09-13,0.7319805299069617,0.7324183415342842,1.278228790343461
2023-09-14,0.6344242180643624,0.652068303667222,1.2081982090734735
2023-09-15,0.6768059899866768,0.7072946109180128,1.2804159426944703
2023-09-18,0.7452824907314559,0.7751091710346223,1.3476992910365648
2023-09-19,0.662788721824765,0.7100588694477945,1.3299786536471296
2023-09-20,0.4192689329458038,0.556692700890945,1.269620130590661
2023-09-21,0.43153826974490295,0.6047185215978387,1.3261768258586217
2023-09-22,0.40283545938558696,0.5832014390526425,1.3404362539598575
2023-09-25,0.38555050663867857,0.6044231132817283,1.417029668626819
2023-09-26,0.4397315713503828,0.6427753818377996,1.420824730718151
2023-09-27,0.5075829529133923,0.6763081231068548,1.3889171085297403
2023-09-28,0.6785285137168562,0.8570316886569099,1.5309375123950468
2023-09-29,0.5724976457371327,0.7584590551655992,1.4947593596889548
2023-10-02,0.6964378624875405,0.8854941078830828,1.5991223737657114
2023-10-03,0.7583633989222791,0.9366659540841222,1.6378463664803744
2023-10-04,0.8411008636409365,0.9886651696656232,1.6373926196982138
2023-10-05,0.784572212232465,0.9429772412655997,1.6133815608678832
2023-10-06,0.8558658690743387,1.0141632180450577,1.6838510583604134
2023-10-09,0.7161268721050984,0.9050875372447414,1.6430177493416571
2023-10-10,0.6568433845340629,0.856598159180859,1.6035547529950291
2023-10-11,0.647393335394754,0.7851225011121848,1.4537362900536845
2023-10-12,0.7209067652675246,0.8718280529287604,1.5417857845560725
2023-10-13,0.7094767467020185,0.8589570791525085,1.5234800410852845
2023-10-16,0.7982953522237005,0.9415953105447696,1.5983538374137654
2023-10-17,0.8420274778432066,0.9780010929738457,1.6087774170511575
2023-10-18,0.7702489055061612,0.9962883735854463,1.6379704900348695
2023-10-19,0.8286778749394561,1.0546404076434075,1.7114442931630818
2023-10-20,0.7505692265776764,1.0115453846391242,1.7390348427952425
2023-10-23,0.7458374559531783,0.9957224907318288,1.6931064217513485
2023-10-24,0.7133173916406964,0.9571262886990095,1.6394828511494457
2023-10-25,0.7669902861687411,1.0021212597257931,1.6653520176897074
2023-10-26,0.7368376486919324,0.984906024110401,1.674758313906377
2023-10-27,0.6990328545380313,0.9500158315368603,1.640029577211017
2023-10-30,0.7196451268393649,0.9679650531864544,1.645272686477253
2023-10-31,0.7237247583597972,0.9479583361814825,1.598639304762504
2023-11-01,0.68583946080328,0.9054788509310379,1.5788396386010601
2023-11-02,0.5845403107901792,0.8001376631189316,1.500395526092681
2023-11-03,0.530137619612855,0.72812661849699,1.4204032783026075
2023-11-06,0.6140806980185981,0.8105115222067495,1.4760114785362335
2023-11-07,0.5360773302275127,0.7220574130267019,1.39554480205354
2023-11-08,0.5311856225626551,0.693583336422563,1.3497941751299853
2023-11-09,0.5430220963108826,0.7160185895925684,1.3807259800081242
2023-11-10,0.6162805485838698,0.7737318193141789,1.4212440739915133
2023-11-13,0.6590792816203372,0.7893253557052758,1.4025353200668986
2023-11-14,0.5344768340698401,0.6427223447385683,1.2397179349272243
2023-11-15,0.38320178711443653,0.6032324897932176,1.2587789187707108
2023-11-16,0.3455916750218177,0.5605342359917291,1.2143154228555737
2023-11-17,0.39445143173566016,0.5834225389174637,1.2244557842831834
