0,uk_inf_5yr,uk_inf_10yr,uk_inf_30yr
2018-08-13,2.985421269377486,3.1789799159384726,3.37733099552947
2018-08-14,2.996656369350739,3.185205562828706,3.3850051786102893
2018-08-15,3.0270308410741373,3.180861645243861,3.3681523113498155
2018-08-16,3.033085616905326,3.1891939823050754,3.378789282665072
2018-08-17,3.028917629947702,3.1805142876391446,3.3735449620798796
2018-08-20,3.025896945056673,3.1710515807979585,3.3647044195064018
2018-08-21,3.0289437510702912,3.1793871871704305,3.3757782204456666
2018-08-22,3.024438791554075,3.1746182031457746,3.3674209103193466
2018-08-23,3.0177471696933593,3.170808479196417,3.3673213246114297
2018-08-24,3.011475421326762,3.1661973805195913,3.3630036813339874
2018-08-28,3.024002811959949,3.1787605990688848,3.3711320013801815
2018-08-29,3.0062750867026375,3.1631991709409344,3.3580010843242505
2018-08-30,3.0038134983558065,3.147991297611145,3.341266537312935
2018-08-31,2.9968603768758624,3.1396126083226674,3.329146007747794
2018-09-03,3.022448584834755,3.16099454479576,3.3449606884372547
2018-09-04,3.048596043506731,3.1814507023774583,3.359130216827978
2018-09-05,3.025355904027972,3.1659885583747474,3.356501829033639
2018-09-06,3.0110699607624882,3.1510469785389086,3.3425743510142
2018-09-07,2.9938526975079887,3.142071172001443,3.3333993556207693
2018-09-10,2.9732256186012447,3.124472803115234,3.3226550252884994
2018-09-11,2.9908534745901516,3.146092684525092,3.3447676317070885
2018-09-12,2.9933334536999148,3.1386225924418456,3.346470714478973
2018-09-13,2.9953422679315924,3.1489392087626102,3.3686468154561355
2018-09-14,2.9877421227045486,3.1488788770572596,3.375861202413823
2018-09-17,2.981781266918974,3.1462698608755986,3.371639544794452
2018-09-18,2.977142765520962,3.147526327008454,3.3767423317456347
2018-09-19,3.065288425105586,3.197513040629211,3.4059123360394987
2018-09-20,3.0842575955499862,3.2135010347432367,3.4161400907691277
2018-09-21,3.116155555652931,3.2392936920389346,3.420884728153517
2018-09-24,3.160586948877323,3.277561530884158,3.447289354343268
2018-09-25,3.2070718231793123,3.3050728416120316,3.4576033595190663
2018-09-26,3.1910723161517662,3.2810050897074765,3.4308199990768706
2018-09-27,3.1758397441522854,3.2666441938832835,3.4165153363701473
2018-09-28,3.184314587761092,3.2729726729467368,3.429868282269745
2018-10-01,3.1979373644833684,3.298118440082124,3.466693535370333
2018-10-02,3.199214351443702,3.29379680971118,3.466457755204188
2018-10-03,3.194129127097376,3.2991637176434803,3.4743918606994812
2018-10-04,3.2110980112110328,3.3208743915880783,3.4850979008711875
2018-10-05,3.1604196894927927,3.2926214621828827,3.4794429150910746
2018-10-08,3.1781235691297964,3.3222523788871396,3.5123226789780535
2018-10-09,3.182322340385359,3.327500109102128,3.5341328973928725
2018-10-10,3.1646745344470935,3.326156461133854,3.5565763836895132
2018-10-11,3.1310188772460217,3.2926096067640294,3.5247612026506983
2018-10-12,3.112319345666695,3.28426551495125,3.5066549773895614
2018-10-15,3.1209463739313317,3.2937502850791933,3.509502407893713
2018-10-16,3.1150908874995595,3.2959273726362257,3.510895094077996
2018-10-17,3.1264168149291556,3.286878323336417,3.5030728298487825
2018-10-18,3.1107410169558736,3.270542976928253,3.4944842535625793
2018-10-19,3.097169071509505,3.259862314650955,3.477573122301267
2018-10-22,3.091844829294756,3.2516838717685266,3.47003521917803
2018-10-23,3.0658488184114487,3.228530011095054,3.455562939316466
2018-10-24,3.062548291179685,3.228595878143913,3.4637717930458614
2018-10-25,3.075887006758,3.2395110656027613,3.461060378258871
2018-10-26,3.0625714494167164,3.228718323801438,3.4590091989506515
2018-10-29,3.059862030392067,3.242703985997663,3.464501920690728
2018-10-30,3.073649960789274,3.266676609020547,3.4845963732424012
2018-10-31,3.062916825529213,3.2609457191398477,3.482165898778774
2018-11-01,3.0150190144742552,3.2227666945258395,3.4632060635363136
2018-11-02,3.00834749976138,3.222904918786181,3.459366774216601
2018-11-05,3.016337535653932,3.2325780927230507,3.4695230902567724
2018-11-06,3.0237558073640973,3.2538234648584705,3.4881073981704223
2018-11-07,3.015803953379759,3.253902861094745,3.494052653282873
2018-11-08,3.0204052027569874,3.2621544539093748,3.501319101852788
2018-11-09,3.0126785138016725,3.2594784154198164,3.5044296162498334
2018-11-12,3.05371459072608,3.294349158226486,3.5211579472578096
2018-11-13,3.0216657386879358,3.2796925709642513,3.5113308840214668
2018-11-14,3.0901786127341384,3.316367198979087,3.5286939789788567
2018-11-15,3.196356893120959,3.372661461568807,3.5268773549406167
2018-11-16,3.209681146488459,3.386730254468466,3.5295676920483547
2018-11-19,3.202765125372164,3.367829183905599,3.507976116168085
2018-11-20,3.1885098994951253,3.3484486258131425,3.4871668711882498
2018-11-21,3.19009935220417,3.3344235924413654,3.47906817623005
2018-11-22,3.152155716809953,3.3053874718942726,3.454750369203291
2018-11-23,3.119915413831431,3.2843218905507023,3.456928826704522
2018-11-26,3.10254028445872,3.2740998790919513,3.4603637202822477
2018-11-27,3.1057304563169446,3.2705256610730276,3.466267630341806
2018-11-28,3.1004184256645466,3.270405215310346,3.4729237278644978
2018-11-29,3.1150940734408303,3.2826381990826965,3.4880325157489045
2018-11-30,3.159232350843464,3.321504667772565,3.5337835063303773
2018-12-03,3.2041524443961094,3.359536159394718,3.5455884862229534
2018-12-04,3.2345234812503882,3.3846499147759985,3.5417571248473716
2018-12-05,3.201599936115961,3.364047380651302,3.5168246065077478
2018-12-06,3.1754742590284666,3.3397107677462836,3.491339297722606
2018-12-07,3.203123291019375,3.3621525061357898,3.490403525717794
2018-12-10,3.2206397145034398,3.3891407462833847,3.47238285587449
2018-12-11,3.229501408722007,3.387616328461819,3.450292757981309
2018-12-12,3.2627022946998903,3.4439603540640507,3.509567787041597
2018-12-13,3.2240925420062956,3.41384739131252,3.4906132735350317
2018-12-14,3.2443857605474706,3.4213631920218663,3.4966764237947827
2018-12-17,3.2302732938657335,3.4115846258722753,3.4987652938266662
2018-12-18,3.206012413915066,3.397748041955089,3.4801010902021883
2018-12-19,3.2129939323180423,3.385689668317041,3.4599988325252014
2018-12-20,3.1537991478487237,3.335170376280682,3.421252895222537
2018-12-21,3.155199963598671,3.3450237621575147,3.4295117958574117
2018-12-24,3.151268343283591,3.3390434639420388,3.420754117748356
2018-12-27,3.1475036626865887,3.338475163185489,3.420745180635124
2018-12-28,3.1418970223984224,3.3302189389363557,3.4173947906981352
2018-12-31,3.0999588655900903,3.294251607265386,3.381495168010828
2019-01-02,3.0957814462364572,3.278110492506611,3.3760603892053886
2019-01-03,3.1266059464652205,3.3036184157643973,3.4007508712030887
2019-01-04,3.1675203076883944,3.3526058645378134,3.4484503624645564
2019-01-07,3.158248055029281,3.3443432975358087,3.436929922409166
2019-01-08,3.1713913250361316,3.340790542573371,3.4365511409456695
2019-01-09,3.1785927304037864,3.343421215109365,3.428770853766382
2019-01-10,3.206118111456144,3.373615041408224,3.457529660326283
2019-01-11,3.212915936868538,3.3813892757518285,3.485124326509365
2019-01-14,3.1945104959701824,3.3627583191181154,3.4642158823991798
2019-01-15,3.2094185869616667,3.366814751630784,3.4459433415469034
2019-01-16,3.2008944381015856,3.34796659267753,3.4282907864532484
